Division;Polling Place;Informal Vote
Eden-Monaro;Majors Creek;1
Eden-Monaro;Malua Bay;16
Eden-Monaro;Merimbula;45
Eden-Monaro;Michelago;2
Eden-Monaro;Mogo;10
Eden-Monaro;Moruya;70
Eden-Monaro;Narooma;52
Eden-Monaro;Nelligen;5
Eden-Monaro;Nimmitabel;7
Eden-Monaro;Numeralla;3
Eden-Monaro;Pambula;22
Eden-Monaro;Perisher Valley;0
Eden-Monaro;Quaama;5
Eden-Monaro;Queanbeyan;94
Eden-Monaro;Queanbeyan Central;67
Eden-Monaro;Queanbeyan East;51
Eden-Monaro;Queanbeyan High;83
Eden-Monaro;Queanbeyan Hospital;19
Eden-Monaro;Queanbeyan North;18
Eden-Monaro;Queanbeyan South;139
Eden-Monaro;Queanbeyan West;86
Eden-Monaro;South Durras;5
Eden-Monaro;Special Hospital Team 1;0
Eden-Monaro;Special Hospital Team 2;0
Eden-Monaro;Special Hospital Team 3;1
Eden-Monaro;Special Hospital Team 4;1
Eden-Monaro;Special Hospital Team 5;0
Eden-Monaro;Sunshine Bay;38
Eden-Monaro;Sydney (Eden-Monaro);1
Eden-Monaro;Tanja;0
Eden-Monaro;Tathra;16
Eden-Monaro;Thredbo;1
Eden-Monaro;Tomakin;9
Eden-Monaro;Towamba;5
Eden-Monaro;Tuross Head;17
Eden-Monaro;Wamboin;8
Eden-Monaro;Wolumla;16
Eden-Monaro;Wyndham;3
Eden-Monaro;ABSENT;86
Eden-Monaro;POSTAL;25
Eden-Monaro;PRE POLL;51
Eden-Monaro;PROVISIONAL;18
Farrer;Albury;84
Farrer;Albury East;30
Farrer;Albury High School;65
Farrer;Albury Hospital;27
Farrer;Albury Mercy Hospital;3
Farrer;Albury North;73
Farrer;Albury West;64
Farrer;Balldale;4
Farrer;Balranald;44
Farrer;Barham;36
Farrer;Barooga;29
Farrer;Berrigan;41
Farrer;Blighty;2
Farrer;Boree Creek;2
Farrer;Brocklesby;3
Farrer;Bunnaloo;1
Farrer;Buronga;31
Farrer;Burrumbuttock;5
Farrer;Caldwell;0
Farrer;Carabost;0
Farrer;Conargo;3
Farrer;Cookardinia;0
Farrer;Corowa;44
Farrer;Corowa Hospital;29
Farrer;Corowa South;9
Farrer;Culcairn;22
Farrer;Curlwaa;7
Farrer;Dareton;30
Farrer;Daysdale;1
Farrer;Deniliquin;44
Farrer;Deniliquin Hospital;12
Farrer;Deniliquin North;15
Farrer;Deniliquin South;23
Farrer;Deniliquin West;43
Farrer;Emery;2
Farrer;Euston;16
Farrer;Finley;40
Farrer;Gerogery;7
Farrer;Glenroy;57
Farrer;Gol Gol;18
Farrer;Hatfield;1
Farrer;Henty;21
Farrer;Holbrook;29
Farrer;Howlong;33
Farrer;Hume;66
Farrer;Hume Weir;2
Farrer;Jerilderie;19
Farrer;Jindera;21
Farrer;Jingellic;6
Farrer;Khancoban;5
Farrer;Koraleigh;12
Farrer;Kyalite;0
Farrer;Lalalty;0
Farrer;Lavington;123
Farrer;Lavington East;51
Farrer;Lockhart;14
Farrer;Logie Brae;2
Farrer;Lowesdale;5
Farrer;Mathoura;26
Farrer;Mayrung;5
Farrer;Moama;63
Farrer;Morundah;1
Farrer;Morven;0
Farrer;Moulamein;13
Farrer;Mullengandra;2
Farrer;Mulwala;31
Farrer;Murray Downs;0
Farrer;Oaklands;9
Farrer;Pomona;3
Farrer;Pooncarie;2
Farrer;Pretty Pine;5
Farrer;Rand;4
Farrer;Rennie;2
Farrer;Rosewood;2
Farrer;Special Hospital Team 1;0
Farrer;Special Hospital Team 2;0
Farrer;Special Hospital Team 3;0
Farrer;Special Hospital Team 4;0
Farrer;Special Hospital Team 5;0
Farrer;Springdale Heights;15
Farrer;St Marks;46
Farrer;Sydney (Farrer);0
Farrer;Table Top;3
Farrer;The Retreat;2
Farrer;Thurgoona;33
Farrer;Tocumwal;34
Farrer;Tooleybuc;7
Farrer;Tooma;2
Farrer;Tumbarumba;40
Farrer;Urana;18
Farrer;Urangeline;2
Farrer;Wakool;12
Farrer;Walbundrie;1
Farrer;Walla Walla;11
Farrer;Wanganella;0
Farrer;Wentworth;32
Farrer;Womboota;1
Farrer;Woomargama;3
Farrer;ABSENT;36
Farrer;POSTAL;37
Farrer;PRE POLL;83
Farrer;PROVISIONAL;25
Fowler;Ashcroft;50
Fowler;Bonnyrigg;108
Fowler;Bonnyrigg High;70
Fowler;Busby;102
Fowler;Cabramatta;299
Fowler;Cabramatta East;162
Fowler;Cabramatta High;89
Fowler;Cabramatta West;145
Fowler;Canley Heights;198
Fowler;Canley Vale;189
Fowler;Cartwright;55
Fowler;Casula (Fowler);10
Fowler;Edensor Park;138
Fowler;Green Valley;118
Fowler;Harrington Street;171
Fowler;Heckenberg;80
Fowler;Hinchinbrook;24
Fowler;Lansvale;131
Fowler;Lansvale East;52
Fowler;Liverpool;157
Fowler;Liverpool Hospital;34
Fowler;Liverpool West;116
Fowler;Marsden Road;81
Fowler;Miller;65
Fowler;Mount Pritchard;198
Fowler;Mount Pritchard East;73
Fowler;Sadleir;54
Fowler;Special Hospital Team 1;2
Fowler;St Johns Park;228
Fowler;Sydney (Fowler);2
Fowler;Wakeley;130
Fowler;Warwick Farm;82
Fowler;ABSENT;221
Fowler;POSTAL;24
Fowler;PRE POLL;76
Fowler;PROVISIONAL;77
Gilmore;Avoca;2
Gilmore;Basin View;35
Gilmore;Bawley Point;10
Gilmore;Berry;23
Gilmore;Bomaderry;55
Gilmore;Bomaderry South;9
Gilmore;Bundanoon;20
Gilmore;Burrawang;13
Gilmore;Burrill Lake;32
Gilmore;Callala Beach;16
Gilmore;Cambewarra;11
Gilmore;Cudmirrah;6
Gilmore;Culburra;40
Gilmore;Currarong;7
Gilmore;Erowal Bay;7
Gilmore;Exeter;5
Gilmore;Falls Creek;21
Gilmore;Gerringong;21
Gilmore;Gerroa;3
Gilmore;Greenwell Point;20
Gilmore;Huskisson;37
Gilmore;Hyams Beach;0
Gilmore;Jamberoo;12
Gilmore;Kangaroo Valley;8
Gilmore;Kiama;78
Gilmore;Kiama Downs;18
Gilmore;Lake Conjola;11
Gilmore;Manyana;6
Gilmore;Mayflower;6
Gilmore;Milton;33
