2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [12246 8/11/2005 11:09:18 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fraser,32468,Special Hospital Team 2,15143,GILES,Adam,3,,LP,Liberal,95,-6.63
ACT,102,Fraser,8836,Turner,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1440,1.1
ACT,102,Fraser,8836,Turner,15143,GILES,Adam,3,,LP,Liberal,369,-1.1
ACT,102,Fraser,8837,Watson,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),2045,2.65
ACT,102,Fraser,8837,Watson,15143,GILES,Adam,3,,LP,Liberal,860,-2.65
ACT,102,Fraser,8838,Weetangera,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1425,3.42
ACT,102,Fraser,8838,Weetangera,15143,GILES,Adam,3,,LP,Liberal,892,-3.42
ACT,102,Fraser,8839,Wreck Bay,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),77,-3.23
ACT,102,Fraser,8839,Wreck Bay,15143,GILES,Adam,3,,LP,Liberal,6,3.23
NSW,103,Banks,1,Beverly Hills North,14709,GRAY,Roger,3,,LP,Liberal,1141,2.97
NSW,103,Banks,1,Beverly Hills North,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1382,-2.97
NSW,103,Banks,33758,Beverly Hills South (Banks),14709,GRAY,Roger,3,,LP,Liberal,315,6.58
NSW,103,Banks,33758,Beverly Hills South (Banks),14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,371,-6.58
NSW,103,Banks,2,East Hills,14709,GRAY,Roger,3,,LP,Liberal,595,1.1
NSW,103,Banks,2,East Hills,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,587,-1.1
NSW,103,Banks,3,Hannans Road,14709,GRAY,Roger,3,,LP,Liberal,835,5.04
NSW,103,Banks,3,Hannans Road,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1381,-5.04
NSW,103,Banks,4,Lugarno,14709,GRAY,Roger,3,,LP,Liberal,1914,-2.13
NSW,103,Banks,4,Lugarno,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1044,2.13
NSW,103,Banks,174,Milperra,14709,GRAY,Roger,3,,LP,Liberal,1286,1.73
NSW,103,Banks,174,Milperra,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,983,-1.73
NSW,103,Banks,55,Mortdale Central,14709,GRAY,Roger,3,,LP,Liberal,855,1.75
NSW,103,Banks,55,Mortdale Central,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1003,-1.75
NSW,103,Banks,57,Mortdale Heights,14709,GRAY,Roger,3,,LP,Liberal,525,-0.88
NSW,103,Banks,57,Mortdale Heights,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,444,0.88
NSW,103,Banks,5,Mortdale West,14709,GRAY,Roger,3,,LP,Liberal,1012,1.97
NSW,103,Banks,5,Mortdale West,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1021,-1.97
NSW,103,Banks,6,Narwee,14709,GRAY,Roger,3,,LP,Liberal,1321,2.08
NSW,103,Banks,6,Narwee,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1444,-2.08
NSW,103,Banks,11926,Oatley (Banks),14709,GRAY,Roger,3,,LP,Liberal,314,-3.52
NSW,103,Banks,11926,Oatley (Banks),14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,257,3.52
NSW,103,Banks,59,Oatley West,14709,GRAY,Roger,3,,LP,Liberal,1297,1.15
NSW,103,Banks,59,Oatley West,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,974,-1.15
NSW,103,Banks,7,Padstow,14709,GRAY,Roger,3,,LP,Liberal,1542,1.67
NSW,103,Banks,7,Padstow,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1871,-1.67
NSW,103,Banks,8,Padstow East,14709,GRAY,Roger,3,,LP,Liberal,634,3.5
NSW,103,Banks,8,Padstow East,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,645,-3.5
NSW,103,Banks,9,Padstow North,14709,GRAY,Roger,3,,LP,Liberal,417,-1.89
NSW,103,Banks,9,Padstow North,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,486,1.89
NSW,103,Banks,10,Padstow South,14709,GRAY,Roger,3,,LP,Liberal,1436,1.8
NSW,103,Banks,10,Padstow South,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1180,-1.8
NSW,103,Banks,11,Panania,14709,GRAY,Roger,3,,LP,Liberal,626,3.49
NSW,103,Banks,11,Panania,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,691,-3.49
NSW,103,Banks,12,Panania Central,14709,GRAY,Roger,3,,LP,Liberal,610,-0.8
NSW,103,Banks,12,Panania Central,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,737,0.8
NSW,103,Banks,13,Panania North,14709,GRAY,Roger,3,,LP,Liberal,848,0.5
NSW,103,Banks,13,Panania North,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1051,-0.5
NSW,103,Banks,14,Panania South,14709,GRAY,Roger,3,,LP,Liberal,1601,2.55
NSW,103,Banks,14,Panania South,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1303,-2.55
NSW,103,Banks,16,Peakhurst East,14709,GRAY,Roger,3,,LP,Liberal,902,-1.78
NSW,103,Banks,16,Peakhurst East,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1133,1.78
NSW,103,Banks,17,Peakhurst South,14709,GRAY,Roger,3,,LP,Liberal,1040,-0.94
NSW,103,Banks,17,Peakhurst South,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,674,0.94
NSW,103,Banks,18,Peakhurst West,14709,GRAY,Roger,3,,LP,Liberal,1451,0.94
NSW,103,Banks,18,Peakhurst West,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1181,-0.94
NSW,103,Banks,19,Penshurst,14709,GRAY,Roger,3,,LP,Liberal,742,2.88
NSW,103,Banks,19,Penshurst,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,853,-2.88
NSW,103,Banks,60,Penshurst Central,14709,GRAY,Roger,3,,LP,Liberal,846,0.67
NSW,103,Banks,60,Penshurst Central,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,1186,-0.67
NSW,103,Banks,22,Picnic Point North,14709,GRAY,Roger,3,,LP,Liberal,1169,2.02
NSW,103,Banks,22,Picnic Point North,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,830,-2.02
