MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,NXT FP,UAP FP,DEM FP,DLP FP,OTH FP,GLApp,GLDis,Comments
1973-09-15,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1973-09-25,F2F Morgan,,#N/A,48,44,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1973-10-08,F2F Morgan,,#N/A,48,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1973-10-22,F2F Morgan,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1973-11-05,F2F Morgan,,#N/A,48,45,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1973-11-15,F2F Morgan,,#N/A,47,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,7,,,
1973-11-25,F2F Morgan,,#N/A,49,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1973-12-15,F2F Morgan,,#N/A,50,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,,,
1974-02-15,F2F Morgan,,#N/A,47,42,#N/A,#N/A,#N/A,#N/A,#N/A,4,7,,,
1974-03-08,F2F Morgan,,#N/A,46,45,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1974-03-22,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1974-04-05,F2F Morgan,,#N/A,46,45,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1974-04-15,F2F Morgan,,#N/A,45,45,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,,,
1974-04-25,F2F Morgan,,#N/A,45,44,#N/A,#N/A,#N/A,#N/A,#N/A,5,6,,,
1974-05-05,F2F Morgan,,#N/A,44,45,#N/A,#N/A,#N/A,#N/A,#N/A,4,7,,,
1974-05-15,F2F Morgan,,#N/A,44,47,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,,,
1974-06-15,F2F Morgan,,#N/A,49,47,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,,,
1974-07-15,F2F Morgan,,#N/A,52,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,
1974-08-15,F2F Morgan,,#N/A,53,42,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,
1974-09-14,F2F Morgan,,#N/A,52,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,"#Marked ""pre-budget"". A poll marked ""September"", identical to this one, but listed after the October polls, is omitted"
1974-09-21,F2F Morgan,,#N/A,54,41,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,"#Marked ""post-budget"""
1974-10-08,F2F Morgan,,#N/A,56,39,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,
1974-10-22,F2F Morgan,,#N/A,53,39,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,"#ALP vote given as 49, presumably an error"
1974-12-15,F2F Morgan,,#N/A,57,38,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,
1975-01-15,F2F Morgan,,#N/A,55,40,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,"#All Morgan polls above this date have an estimated date only, unless otherwise indicated"
1975-02-19,F2F Morgan,,#N/A,51,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1975-03-05,F2F Morgan,,#N/A,51,43,#N/A,#N/A,#N/A,#N/A,#N/A,4,2,,,
1975-03-19,F2F Morgan,,#N/A,47,49,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,,,
1975-04-02,F2F Morgan,,#N/A,51,44,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,,,
1975-04-16,F2F Morgan,,#N/A,55,40,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1975-04-30,F2F Morgan,,#N/A,52,44,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,,,
1975-05-14,F2F Morgan,,#N/A,56,40,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,,,
1975-05-28,F2F Morgan,,#N/A,54,40,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,,,
1975-06-11,F2F Morgan,,#N/A,56,38,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,,,
1975-06-25,F2F Morgan,,#N/A,55,39,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,,,
1975-07-06,F2F Morgan,,#N/A,61,33,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,,,
